State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Higher_Education,Graduate_Education,sex_ratio,literacy_rate
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,7897,2774,183396,26253,85167,85642,37417,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,4571,2025,166585,23185,62205,62612,36905,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,24274,5679,352929,57008,193945,157435,141947,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,6600,2034,129123,17248,72313,68794,38823,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,3943,305557,35264,146931,130155,73636,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,4339,393498,24509,175460,130608,172683,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,5732,485723,30207,179435,230415,222622,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,2734,120603,5287,45930,50438,47094,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,1741,161310,5741,59954,46847,49939,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,3437,126494,27009,39804,52272,39533,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,3699,288723,10349,99846,147520,132571,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,3694,373644,17508,150972,92785,106667,97.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,3411,220793,17113,68379,80296,101714,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,1723,136969,5787,58255,41227,41052,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,3238,268172,11261,103489,58129,67155,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,3361,231696,9938,27698,100677,77282,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,2286,195277,6664,62106,92559,90833,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,1641,96086,3614,31120,45590,37856,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,2030,141275,4385,34909,42887,39312,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,3332,283142,21515,85320,105734,104071,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,2709,243163,16537,56973,104087,84185,91.0,58.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,76565,12219,990085,142866,523398,455527,703673,91.0,65.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,754,986,43141,5218,11355,12759,10604,85.0,46.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1585,2470,161845,12367,34799,32366,25210,95.0,45.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1750,1962,220428,5385,56052,46267,47985,95.0,52.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,4828,3300,297559,15861,59920,192240,158936,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,19335,5708,408808,40768,197296,154789,177199,92.0,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1059,1987,132079,3820,35486,69443,67639,86.0,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,12843,3394,339899,24848,147206,118710,167778,91.0,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,4449,4863,347344,26150,94315,147701,117444,95.0,53.0
