State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Higher_Education,Graduate_Education,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,4181,566108,8338,96998,143143,100226,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,5799,897970,9915,144214,162175,144915,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,5926,944555,16296,186568,265199,246409,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,7211,1297273,25381,232073,271809,263023,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,6981,1186028,17424,190079,246580,221924,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,11071,869721,124106,439890,517425,558090,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,5251,926768,14175,192965,293493,256633,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,3836,668519,11887,115078,154774,160804,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,6983,1163932,27969,212111,312753,328454,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,5301,816721,10622,118153,152453,115504,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,4695,757821,12615,121553,169083,98227,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,3874,604719,14362,119276,201928,127493,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,4468,789225,18927,143010,238695,196134,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,3458,545913,10088,102049,223365,141850,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,4304,763746,9071,105940,142026,133627,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,3301,615432,5264,64087,146721,121213,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,3103,527736,5002,61858,115144,103591,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,4762,828077,15727,139404,279234,248942,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,5485,1017568,14687,182698,215863,207586,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,348,14593,1102,2450,5641,3633,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,348,5318,577,1382,4510,2330,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,644,14231,2072,4568,9498,6540,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,348,3911,605,884,4353,2031,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,348,17157,1203,3884,7612,5180,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,348,5932,703,2128,3570,2795,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,348,12493,2002,2973,7674,5230,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,644,30539,6454,8668,17342,13840,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,348,8635,895,205,1989,1379,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,348,16026,679,1369,4305,2134,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,348,6198,430,1031,2211,1349,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,348,5373,569,1435,8017,4276,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,348,14188,1299,1045,3987,2693,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,348,14204,1964,4023,8418,6030,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,348,84804,5560,24913,87377,46947,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,348,49866,5837,16579,35491,20221,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,348,140205,8700,22647,79766,45341,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,348,45444,3533,13662,47398,22267,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,348,28195,3504,12293,55399,28006,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,348,136685,21112,44664,89500,59380,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,348,78641,4112,15292,39885,18294,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,348,82345,9295,27300,66197,36887,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,348,44143,2583,5589,28504,11608,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,348,122063,16081,44159,97025,62608,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,348,122191,10052,34461,118849,55011,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,348,53918,3934,13699,40602,18225,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,348,70951,3757,7289,39637,21408,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,348,41373,2996,12191,39571,17287,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,348,60296,6904,25699,82885,44212,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,348,195631,13979,47693,115864,66994,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,348,68313,4785,18810,71734,39368,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,348,133368,11760,39796,90385,49901,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,348,161718,13323,31363,61040,38152,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,2035,43290,5041,31983,68177,39627,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,2215,44456,7145,32335,136783,91371,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,8119,589477,33322,230188,310762,253253,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,2215,44456,7145,32335,136783,91371,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,8119,589477,33322,230188,310762,253253,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,1738,62359,3258,24398,63103,35767,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,2354,120373,9821,41377,144783,101836,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,2814,174534,8644,47618,154643,118843,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,2600,62153,7391,43689,163303,131137,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,1556,46760,5341,26325,89306,64117,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,3514,127442,10325,52586,152540,129597,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,3998,112617,11827,59202,191824,131163,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,2370,69375,9508,51902,123249,79109,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,1516,32633,4842,18411,56137,29633,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,960,27641,2522,13682,68748,45519,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,2516,60900,5118,35004,88498,57114,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,1254,40641,3120,14047,65931,38697,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,1347,58718,2436,19539,25989,15386,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,904,44491,2415,9577,48001,27261,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,1494,23236,4560,21254,79891,44955,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,3520,113281,11636,59254,170563,137780,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,1424,90461,3755,24259,101907,64469,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,4105,180651,23333,94249,194920,138916,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,2578,101378,7955,29239,177358,133032,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,1924,31162,3991,15948,95943,64585,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,3181,57546,10911,48435,98732,70669,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,7065,546859,49821,176114,463361,452340,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,4098,74979,19282,78531,121594,68781,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,2641,86058,8390,40178,83226,59996,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,1555,114893,10819,49892,194928,161555,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,1582,41342,3824,20489,64560,47051,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,3500,88021,10621,56464,186153,129933,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,3667,94787,10948,68604,213251,148065,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,565,20065,1728,6933,33856,19676,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,489,10004,1410,7678,16031,10091,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,2679,66263,7292,38576,92783,70549,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,3014,52935,10891,64065,186817,119164,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,1836,51028,4064,21885,69665,45726,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,2930,70001,11316,60246,178320,124448,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,34145,231204,60494,109701,98786,174528,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,1529,157646,4227,32802,57413,32895,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,3666,79146,6573,11397,45695,25474,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,2981,519704,13137,84851,152838,134637,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,3666,79146,6573,11397,45695,25474,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,2981,519704,13137,84851,152838,134637,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,782,148926,3069,30621,58875,31319,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,4209,614109,28840,177048,286244,202424,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,856,76783,2442,15547,50562,26161,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,1565,202380,8677,55579,83166,61215,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,852,80023,3402,26365,38677,26802,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,964,212487,3546,31472,57949,33357,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,1575,297308,5979,50302,93340,66358,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,6097,547206,43536,158119,221410,204507,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,1575,297308,5979,50302,93340,66358,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,6097,547206,43536,158119,221410,204507,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,4561,728556,30572,177517,267265,227382,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,2462,253131,8096,56480,105992,64607,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,34145,49249,3163,14167,14170,9128,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,5549,498326,17447,195597,137505,139957,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,5549,498326,17447,195597,137505,139957,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,2078,173951,44342,101378,87513,86781,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,1646,138810,35031,82436,64786,57460,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,18633,1456046,174812,692591,549188,839295,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,2825,273331,10236,113906,66785,50999,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,4372,378310,19352,104613,127459,110351,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,4242,396873,22723,68665,105372,66950,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,3242,309091,21579,104126,83895,74380,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,5434,500757,17517,200864,96241,93391,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,6016,262539,26385,106981,95730,108400,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,5028,386538,20471,185194,74029,87523,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,4146,403294,28788,140540,61366,60386,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,4252,372226,12788,84414,148530,84223,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,3648,385609,25163,119579,139208,130723,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,979,101940,2442,18771,28396,14748,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,3256,267679,18669,115177,112460,85041,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,3981,398937,9656,72703,139773,71810,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,2199,223424,7802,41235,57494,46355,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,1463,117040,4395,45156,25119,22458,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,8498,747352,55289,428744,204306,266295,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,3934,438606,22379,122399,198963,110817,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,16368,1252452,106983,530528,433651,379505,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,3227,302068,10088,99436,61164,58389,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,325,29794,991,5662,7560,3490,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,9753,798277,72630,351423,268451,314960,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,3316,329218,23938,128491,123281,90912,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,2781,199681,26122,92424,97980,91472,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,3349,266244,16793,66069,148995,104875,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,5080,333171,63470,152884,178846,259933,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,1854,153301,14030,52633,61476,37741,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,3107,305751,92934,131478,150120,233402,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,3642,285004,24642,90721,144626,105346,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,2169,168558,14298,52868,97457,58826,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,2674,222462,15836,61694,107994,64599,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,2046,187349,12792,59238,82297,51043,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,3368,267223,26238,108101,124790,101387,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,2137,171908,20261,73765,81964,71007,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,1894,135455,8538,45775,94245,60296,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,1445,103455,29497,49972,48306,83256,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,2559,209965,17466,74923,91756,75774,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,1979,152651,12161,58897,95807,65143,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,2299,193120,16545,63575,109596,100346,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,2681,215527,24468,75692,83373,61620,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,950,96082,5074,8880,40440,15506,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,878,104120,6665,16955,64363,35620,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,1291,55929,3791,24522,59914,59612,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,878,104120,6665,16955,64363,35620,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,1291,55929,3791,24522,59914,59612,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,2878,330081,22727,69192,192936,91236,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,181,17865,2775,857,7871,5118,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,854,91322,8479,6979,39081,23168,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,1842,214491,15958,26366,128549,54139,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,1668,172754,23107,8186,95341,80414,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,930,91509,7459,17523,38282,23352,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,1253,119866,15117,25275,59363,36803,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,987,105929,8059,36913,60626,32120,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,1103,61831,1804,1550,31416,12647,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,3525,294739,44063,113156,159257,146501,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,214,15824,1847,652,9826,3077,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,936,109422,4687,23014,47694,24330,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,1068,73629,6164,4551,40931,31286,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,629,62900,1731,2407,29517,13962,89.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,3099,165403,34586,39804,132727,121856,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,1278,73999,3800,8953,29657,17345,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,3604,274726,21098,108998,154076,116396,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,817,27037,2110,15107,35342,21697,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,1267,130193,3714,32553,54419,43979,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,3954,427173,18631,131398,186697,107382,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,1323,62110,2912,23058,38383,25593,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,1017,29373,2671,16578,46882,28144,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,2384,125431,6290,57582,77540,55122,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,1057,43230,1754,19859,47395,30870,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,849,31687,2181,16146,45613,23742,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,540,49419,1632,16906,22995,14802,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,547,38194,1268,8012,23885,13956,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,388,28769,1102,10065,21987,13847,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,691,31414,923,9725,15700,9822,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,1515,68238,8015,29434,100290,63595,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,3805,350908,34053,141089,247237,195181,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,954,34879,1285,10359,28087,19832,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,496,16865,1158,9742,24842,13674,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,2890,301389,9726,69279,115095,82319,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,1422,214253,10389,69005,82235,51015,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,7045,808827,35104,228887,279583,201884,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,3886,440374,14163,111250,121453,89475,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,2448,271439,9724,44813,105347,54900,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,1387,12516,305,2625,6755,3421,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,2938,326594,11722,67663,129109,96990,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,1996,238505,15446,59192,96470,72420,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,2374,307257,7425,55959,132435,75262,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,3062,372671,15449,90291,154781,123863,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,3519,347962,21127,91208,143453,137768,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,1699,198064,5205,30957,63816,42053,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,5378,404767,12872,73797,153746,104256,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,2743,400702,14979,97603,147837,103152,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,2240,295937,5681,47577,84357,55310,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,942,113931,16963,22161,54939,43225,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,3389,309494,9208,85198,107929,71422,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,1889,223166,6211,45100,72243,43967,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,2628,391033,8188,96273,157839,102838,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,4995,640868,40420,211066,222230,212541,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,2672,314547,11104,70603,82082,50463,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,3119,363835,20781,111532,132138,111753,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,4067,562769,14929,137806,213588,143735,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,2100,224814,21349,65169,109663,107279,109.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,3368,507913,42404,144891,274789,198858,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,6274,771287,135307,322394,389793,429880,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,1374,244844,21976,35855,136428,86136,101.0,83.0
